Sample	mRNAsi
MMRF_1100_1_BM_CD138pos_T2_TSMRU_K03392	0.486952309844617
MMRF_2115_1_BM_CD138pos_T3_TSMRU_L07641	0.568275437020062
MMRF_2307_1_BM_CD138pos_T3_TSMRU_L10275	0.533942141424895
MMRF_1664_1_BM_CD138pos_T2_TSMRU_L04235	0.569975040018199
MMRF_1169_1_BM_CD138pos_T2_TSMRU_L07631	0.508270734178915
MMRF_1450_1_BM_CD138pos_T3_TSMRU_L01334	0.645535203258977
MMRF_1698_1_BM_CD138pos_T2_TSMRU_L05987	0.390948886616585
MMRF_1922_1_BM_CD138pos_T2_TSMRU_L06001	0.730474844436126
MMRF_2560_1_BM_CD138pos_T2_TSMRU_L12429	0.573892087130984
MMRF_2265_1_BM_CD138pos_T2_TSMRU_L10603	0.517342498580254
MMRF_1998_1_BM_CD138pos_T2_TSMRU_L06633	0.471971321566786
MMRF_1850_1_BM_CD138pos_T2_TSMRU_L05992	0.692272808710965
MMRF_2801_1_BM_CD138pos_T2_TSMRU_L16037	0.358912565429784
MMRF_2767_1_BM_CD138pos_T2_TSMRU_L16021	0.39847180929018
MMRF_2365_1_BM_CD138pos_T3_TSMRU_L10318	0.536170445249182
MMRF_2461_1_BM_CD138pos_T2_TSMRU_L11506	0.338987086694519
MMRF_1408_1_BM_CD138pos_T3_TSMRU_L00394	0.56099978277973
MMRF_2422_1_BM_CD138pos_T2_TSMRU_L10613	0.579850039452771
MMRF_2692_1_BM_CD138pos_T3_TSMRU_L14571	0.452280344284697
MMRF_1773_1_BM_CD138pos_T3_TSMRU_L04990	0.466478850070279
MMRF_2579_1_BM_CD138pos_T2_TSMRU_L12445	0.488526186030277
MMRF_2570_1_BM_CD138pos_T2_TSMRU_L12444	0.411014824367103
MMRF_1881_1_BM_CD138pos_T2_TSMRU_L05345	0.602348055222351
MMRF_2505_1_BM_CD138pos_T2_TSMRU_L11528	0.482922650988014
MMRF_2733_1_BM_CD138pos_T2_TSMRU_L14991	0.582217126732808
MMRF_2452_1_BM_CD138pos_T2_TSMRU_L10623	0.390459789864923
MMRF_2072_1_BM_CD138pos_T3_TSMRU_L07195	0.508938839863605
MMRF_2310_1_BM_CD138pos_T2_TSMRU_L09803	0.589268694922465
MMRF_1130_1_BM_CD138pos_T2_TSMRU_K03517	0.631656016571334
MMRF_1489_1_BM_CD138pos_T3_TSMRU_L01868	0.647333497296095
MMRF_2525_1_BM_CD138pos_T2_TSMRU_L12433	0.533849377847338
MMRF_2523_1_BM_CD138pos_T2_TSMRU_L11530	0.63850862324885
MMRF_1882_1_BM_CD138pos_T2_TSMRU_L05350	0.403477105750418
MMRF_1318_1_BM_CD138pos_T2_TSMRU_L01870	0.568474199248544
MMRF_1099_1_BM_CD138pos_T2_TSMRU_K03521	0.67005844535577
MMRF_2367_1_BM_CD138pos_T3_TSMRU_L10073	0.64890273116833
MMRF_2302_1_BM_CD138pos_T3_TSMRU_L10054	0.590972701805896
MMRF_2757_1_BM_CD138pos_T2_TSMRU_L14995	0.373814837243422
MMRF_2515_1_BM_CD138pos_T2_TSMRU_L12437	0.510809496704096
